Miasto	Powiat	Wojewodztwo	Powierzchnia	Ludnosc	Zaludnienie
Kargowa	zielonogórski	lubuskie	4,55	3768	828
Karlino	białogardzki	zachodniopomorskie	9,40	5989	637
Karpacz	jeleniogórski	dolnośląskie	37,99	4921	130
Kartuzy	kartuski	pomorskie	6,80	14840	2182
Katowice	Katowice[a]	śląskie	164,64	301834	1833
KazimierzDolny	puławski	lubelskie	30,44	2599	85
KazimierzaWielka	kazimierski	świętokrzyskie	5,33	5725	1074
KątyWrocławskie	wrocławski	dolnośląskie	8,61	6549	761
Kcynia	nakielski	kujawsko-pomorskie	6,84	4735	692
Kędzierzyn-Koźle	kędzierzyńsko-kozielski	opolskie	123,71	62840	508
Kępice	słupski	pomorskie	6,11	3737	612
Kępno	kępiński	wielkopolskie	7,79	14559	1869
Kętrzyn	kętrzyński	warmińsko-mazurskie	10,35	27924	2698
Kęty	oświęcimski	małopolskie	23,05	19062	827
Kielce	Kielce[a]	świętokrzyskie	109,65	198857	1814
Kietrz	głubczycki	opolskie	18,74	6167	329
Kisielice	iławski	warmińsko-mazurskie	3,37	2131	632
Kleczew	koniński	wielkopolskie	7,80	4230	542
Kleszczele	hajnowski	podlaskie	46,71	1321	28
Kluczbork	kluczborski	opolskie	12,35	24410	1977
Kłecko	gnieźnieński	wielkopolskie	9,62	2681	279
Kłobuck	kłobucki	śląskie	47,46	13133	277
Kłodawa	kolski	wielkopolskie	4,31	6635	1539
Kłodzko	kłodzki	dolnośląskie	24,84	27792	1119
Knurów	gliwicki	śląskie	33,95	38859	1145
Knyszyn	moniecki	podlaskie	23,68	2853	120
Kobylin	krotoszyński	wielkopolskie	4,87	3263	670
Kobyłka	wołomiński	mazowieckie	19,64	21341	1087
Kock	lubartowski	lubelskie	16,78	3389	202
Kolbuszowa	kolbuszowski	podkarpackie	7,94	9270	1168
Kolno	kolneński	podlaskie	25,07	10567	421
Kolonowskie	strzelecki	opolskie	55,70	3361	60
Koluszki	łódzkiwschodni	łódzkie	9,90	13370	1351
Kołaczyce	jasielski	podkarpackie	7,15	1437	201
Koło	kolski	wielkopolskie	13,85	22834	1649
Kołobrzeg	kołobrzeski	zachodniopomorskie	25,67	46720	1820
Koniecpol	częstochowski	śląskie	36,92	6142	166
Konin	Konin[a]	wielkopolskie	82,20	76547	931
Konstancin-Jeziorna	piaseczyński	mazowieckie	17,74	17311	976
KonstantynówŁódzki	pabianicki	łódzkie	27,25	17857	655
Końskie	konecki	świętokrzyskie	17,70	20059	1133
Koprzywnica	sandomierski	świętokrzyskie	17,90	2539	142
Korfantów	nyski	opolskie	10,23	1881	184
Koronowo	bydgoski	kujawsko-pomorskie	28,15	11384	404
Korsze	kętrzyński	warmińsko-mazurskie	4,03	4514	1120
KosówLacki	sokołowski	mazowieckie	11,57	2152	186
